"Year","State","Type_of_beverage","Gallons_of_beverage","Gallons_of_ethanol","Population","Gallons_of_ethanol_per_capita_age_14_and_older","Decile_for_per_capita_consumption_age_14_and_older","Population_.age_21_and_older.","Gallons_of_ethanol_per_capita_age_21_and_older","Decile_for_per_capita_consumption_age_21_and_older","Type_of_data_source","Time.varying_alcohol_by_volume_.ABV.","Gallons_of_ethanol_derived_from_time.varying_ABV"
2016,"KY",4,0,7226016,3655659,19767,9,3254102,22206,9,0,0,7289889
2016,"LA",1,9287487,3817157,3811183,10016,3,3391062,11257,3,1,386,3584970
2016,"LA",2,9977757,1287131,3811183,3377,6,3391062,3796,6,1,123,1227264
2016,"LA",3,106082000,4773690,3811183,12525,3,3391062,14077,3,7,47,4985854
2016,"LA",4,0,9877978,3811183,25918,4,3391062,29129,4,0,0,9798088
2016,"ME",1,2795659,1149016,1138615,10091,3,1028020,11177,3,6,363,1014824
2016,"ME",2,3893122,502213,1138615,4411,5,1028020,4885,5,7,122,474961
2016,"ME",3,34441000,1549845,1138615,13612,2,1028020,15076,2,7,48,1653168
2016,"ME",4,0,3201074,1138615,28114,3,1028020,31138,3,0,0,3142953
2016,"MD",1,11166958,4589620,4964708,9244,5,4430738,10359,5,1,386,4310446
2016,"MD",2,15407386,1987553,4964708,4003,6,4430738,4486,6,1,123,1895108
2016,"MD",3,91886003,4134870,4964708,8329,10,4430738,9332,10,1,48,4410528
2016,"MD",4,0,10712042,4964708,21576,8,4430738,24177,8,0,0,10616082
2016,"MA",1,13590345,5585632,5777890,9667,4,5137026,10873,4,1,380,5164331
2016,"MA",2,28933814,3732462,5777890,6460,2,5137026,7266,2,1,123,3558859
2016,"MA",3,121899732,5485488,5777890,9494,9,5137026,10678,9,1,48,5851187
2016,"MA",4,0,14803582,5777890,25621,5,5137026,28817,5,0,0,14574377
2016,"MI",1,18349524,7541654,8283928,9104,5,7349939,10261,5,6,372,6826023
2016,"MI",2,25143009,3243448,8283928,3915,6,7349939,4413,6,1,122,3067447
2016,"MI",3,190290886,8563090,8283928,10337,7,7349939,11651,7,1,48,9133963
2016,"MI",4,0,19348192,8283928,23356,6,7349939,26324,6,0,0,19027433
2016,"MN",1,12911143,5306480,4517685,11746,2,4019486,13202,2,1,384,4957879
2016,"MN",2,15507355,2000449,4517685,4428,5,4019486,4977,5,1,122,1891897
2016,"MN",3,115643004,5203935,4517685,11519,5,4019486,12947,5,1,48,5550864
2016,"MN",4,0,12510864,4517685,27693,3,4019486,31126,3,0,0,12400640
2016,"MS",1,4583869,1883970,2432099,7746,7,2143038,8791,7,6,374,1714367
2016,"MS",2,3297588,425389,2432099,1749,10,2143038,1985,10,6,122,402306
2016,"MS",3,69347000,3120615,2432099,12831,3,2143038,14562,3,7,48,3328656
2016,"MS",4,0,5429974,2432099,22326,7,2143038,25338,7,0,0,5445329
2016,"MO",1,11712467,4813824,5016724,9596,4,4464231,10783,4,2,384,4497587
2016,"MO",2,14642794,1888920,5016724,3765,6,4464231,4231,6,2,123,1801064
2016,"MO",3,128845919,5798066,5016724,11557,5,4464231,12988,5,2,47,6055758
2016,"MO",4,0,12500811,5016724,24918,5,4464231,28002,5,0,0,12354409
2016,"MT",1,2061819,847408,863288,9816,4,773273,10959,4,3,377,777306
2016,"MT",2,3451211,445206,863288,5157,4,773273,5757,4,1,123,424499
2016,"MT",3,31047625,1397143,863288,16184,1,773273,18068,1,2,49,1521334
2016,"MT",4,0,2689757,863288,31157,2,773273,34784,2,0,0,2723139
2016,"NE",1,2680564,1101712,1534324,7180,8,1351409,8152,8,7,383,1026656
2016,"NE",2,2596456,334943,1534324,2183,9,1351409,2478,9,7,123,319364
2016,"NE",3,44361000,1996245,1534324,13011,2,1351409,14772,2,7,48,2129328
2016,"NE",4,0,3432900,1534324,22374,7,1351409,25402,7,0,0,3475348
2016,"NV",1,8509719,3497495,2395006,14603,1,2148721,16277,1,7,385,3276242
2016,"NV",2,11432197,1474753,2395006,6158,2,2148721,6863,2,7,123,1406160
2016,"NV",3,75640000,3403800,2395006,14212,2,2148721,15841,2,7,47,3555080
2016,"NV",4,0,8376048,2395006,34973,1,2148721,38982,1,0,0,8237482
2016,"NH",1,5554449,2282879,1145335,19932,1,1023098,22313,1,3,373,2071809
2016,"NH",2,7803654,1006671,1145335,8789,1,1023098,9839,1,3,123,959849
2016,"NH",3,47430000,2134350,1145335,18635,1,1023098,20862,1,7,48,2276640
2016,"NH",4,0,5423900,1145335,47356,1,1023098,53014,1,0,0,5308298
